ua_1,ua_2,year,relatedness
1,117,1986,0.7109259070263694
1,117,1991,0.6722218952102411
1,117,1996,0.6517851114739691
1,117,2001,0.5982666306735095
1,117,2006,0.5895786979789966
1,117,2013,0.5073926168217544
1,217,1981,0.7667302584298012
1,217,1986,0.5480108726722712
1,217,1991,0.8260091004934873
1,217,1996,0.9044431028207257
1,217,2001,0.9147291931824851
1,217,2006,0.8988279922433704
1,217,2013,0.9096528615943954
1,226,1981,0.8285450316016686
1,226,1986,0.6884801996050409
1,226,1991,0.869166317137629
1,226,1996,0.9292163250743868
1,226,2001,0.9282903019959414
1,226,2006,0.927345686011281
1,226,2013,0.9513255179516602
1,231,1981,0.8702061433642581
1,231,1986,0.7010911612808219
1,231,1991,0.8135016286405674
1,231,1996,0.8397538979936088
1,231,2001,0.8126227002126769
1,231,2006,0.8081696774948084
1,231,2013,0.8181100342854326
1,232,1981,0.9006385786466985
1,232,1986,0.7763831210020562
1,232,1991,0.8931879411831831
1,232,1996,0.9012735515932897
1,232,2001,0.8878161883547337
1,232,2006,0.8869666367889385
1,232,2013,0.8507121535318092
1,235,1981,0.6889723648262669
1,235,1986,0.546539117873116
1,235,1991,0.7666294970136205
1,235,1996,0.8234847828910239
1,235,2001,0.8202269237550295
1,235,2006,0.8240980442292266
1,235,2013,0.7833057035619208
1,245,1981,0.8639960841096487
1,245,1986,0.638866594463845
1,245,1991,0.8714690280534079
1,245,1996,0.8257198503610097
1,245,2001,0.8036932685411142
1,245,2006,0.794743631824623
1,245,2013,0.8820814957656393
1,249,1981,0.8743633065747515
1,249,1986,0.7525641981354266
1,249,1991,0.9180744817370754
1,249,1996,0.9208960796761874
1,249,2001,0.9081139166852757
1,249,2006,0.887314040509598
1,249,2013,0.8845948985061161
1,273,1981,0.7098940847650899
1,273,1986,0.5696525605012448
1,273,1991,0.6307537122024457
1,273,1996,0.6825427471156487
1,273,2001,0.6247368644792468
1,273,2006,0.7188082362951909
1,273,2013,0.7054795865810382
1,290,1981,0.726781304681616
1,290,1986,0.5953938471428825
1,290,1991,0.8555370206234975
1,290,1996,0.823904767096413
1,290,2001,0.7959624170952513
1,290,2006,0.8761347062617499
1,290,2013,0.8469647420761517
1,301,1981,0.6316831494984718
1,301,1986,0.5333911713542518
1,301,1991,0.7745955153910804
1,301,1996,0.7443960245192975
1,301,2001,0.7066696322353472
1,301,2006,0.7634027278866916
1,301,2013,0.7721664458322907
2,1,1981,0.3901931671529708
2,1,1986,0.4435621030932718
2,1,1991,0.20836950306379892
2,1,1996,0.2597537737848836
2,1,2001,0.2083008504921962
2,1,2006,0.16639825872599495
2,1,2013,0.12123622229382958
2,2,1981,1
2,2,1986,1
2,2,1991,1
2,2,1996,0.9999999999999998
2,2,2001,1
2,2,2006,1
2,2,2013,1
2,3,1981,0.7603224988494863
2,3,1986,0.7515657584245516
2,3,1991,0.8179815067488816
2,3,1996,0.7725282714979805
2,3,2001,0.7820600882840668
2,3,2006,0.739590916843496
2,3,2013,0.7587188058226257
2,4,1981,0.6646229379101773
2,4,1986,0.7020629004653443
2,4,1991,0.7496161268660619
2,4,1996,0.7522177614127726
2,4,2001,0.8156168528791172
2,4,2006,0.8476512064095865
2,4,2013,0.879641927590016
2,5,1981,0.6042618737765203
2,5,1986,0.6123928490235787
2,5,1991,0.7494062926983895
2,5,1996,0.6633912799300477
2,5,2001,0.707756954681559
2,5,2006,0.6691138309850041
2,5,2013,0.6371821106928507
2,6,1981,0.39032397420070786
2,6,1986,0.383903376964864
2,6,1991,0.30425814648348953
2,6,1996,0.3081129536548732
2,6,2001,0.3052594990660674
2,6,2006,0.305959326034148
2,6,2013,0.32254639775507365
2,7,1981,0.18376784284531572
2,7,1986,0.2952772302497523
2,7,1991,0.22025050382169925
2,7,1996,0.30394252057049875
2,7,2001,0.27142909382699765
2,7,2006,0.2538998124226416
2,7,2013,0.2643679726231829
2,8,1981,0.26619991776943663
2,8,1986,0.3293936962429622
2,8,1991,0.24413556139343756
2,8,1996,0.33370581103794694
2,8,2001,0.24421269338080487
2,8,2006,0.2307517471542509
2,8,2013,0.1989559155181807
2,9,1981,0.419484040197484
2,9,1986,0.3888145413424501
2,9,1991,0.33192180360373474
2,9,1996,0.35435380034080327
2,9,2001,0.32474387124723436
2,9,2006,0.29529415668497916
2,9,2013,0.1715064849957464
2,10,1981,0.4431058365062595
2,10,1986,0.4641979694601883
2,10,1991,0.3053189203437551
2,10,1996,0.33128657736397793
2,10,2001,0.27007011512562706
2,10,2006,0.18599976407764973
