ua,ind,year,emp
3,BB11_,1976,36
3,BB11_,1981,33
3,BB11_,1986,42
3,BB11_,1991,33
3,BB11_,1996,42
3,BB11_,2001,24
3,BB11_,2006,39
3,BB11_,2013,39
3,CC1_,1976,258
3,CC1_,1981,360
3,CC1_,1986,336
3,CC1_,1991,213
3,CC1_,1996,351
3,CC1_,2001,318
3,CC1_,2006,327
3,CC1_,2013,507
3,CC131,1976,48
3,CC131,1981,69
3,CC131,1986,69
3,CC131,1991,33
3,CC131,1996,30
3,CC131,2001,39
3,CC131,2006,51
3,CC131,2013,102
3,CC141,1976,438
3,CC141,1981,690
3,CC141,1986,873
3,CC141,1991,804
3,CC141,1996,873
3,CC141,2001,900
3,CC141,2006,984
3,CC141,2013,1032
3,CC151,1976,435
3,CC151,1981,549
3,CC151,1986,348
3,CC151,1991,339
3,CC151,1996,252
3,CC151,2001,216
3,CC151,2006,264
3,CC151,2013,279
3,CC211,1976,624
3,CC211,1981,783
3,CC211,1986,777
3,CC211,1991,489
3,CC211,1996,561
3,CC211,2001,420
3,CC211,2006,354
3,CC211,2013,360
3,CC212,1976,2364
3,CC212,1981,2595
3,CC212,1986,2565
3,CC212,1991,1686
3,CC212,1996,1431
3,CC212,2001,1116
3,CC212,2006,876
3,CC212,2013,411
3,CC311,1976,864
3,CC311,1981,771
3,CC311,1986,909
3,CC311,1991,654
3,CC311,1996,684
3,CC311,2001,519
3,CC311,2006,561
3,CC311,2013,417
3,CC321,1976,879
3,CC321,1981,960
3,CC321,1986,861
3,CC321,1991,624
3,CC321,1996,660
3,CC321,2001,474
3,CC321,2006,456
3,CC321,2013,279
3,CC411,1976,615
3,CC411,1981,867
3,CC411,1986,987
3,CC411,1991,912
3,CC411,1996,1011
3,CC411,2001,1020
3,CC411,2006,996
3,CC411,2013,843
3,CC5_,1976,1350
3,CC5_,1981,1743
3,CC5_,1986,2118
3,CC5_,1991,1485
3,CC5_,1996,1518
3,CC5_,2001,1665
3,CC5_,2006,1701
3,CC5_,2013,1365
3,CC611,1976,954
3,CC611,1981,879
3,CC611,1986,714
3,CC611,1991,411
3,CC611,1996,366
3,CC611,2001,363
3,CC611,2006,438
3,CC611,2013,360
3,CC711,1976,177
3,CC711,1981,186
3,CC711,1986,210
3,CC711,1991,165
3,CC711,1996,159
3,CC711,2001,147
3,CC711,2006,114
3,CC711,2013,111
3,CC721,1976,1245
3,CC721,1981,1569
3,CC721,1986,1953
3,CC721,1991,1263
3,CC721,1996,1410
3,CC721,2001,1335
3,CC721,2006,1365
3,CC721,2013,1143
3,CC811,1976,726
3,CC811,1981,798
3,CC811,1986,972
3,CC811,1991,732
3,CC811,1996,801
3,CC811,2001,954
3,CC811,2006,900
3,CC811,2013,654
